Date,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y
2024-01-18-11:00:48,0.4,0,0.88,0.53,0.36,0.33,0.84,0.37,0.46,0.94,0.43,0.837639569729425
2024-01-18-11:00:49,0.73,0.31,0.81,0.59,0.59,0.73,0.52,0.05,0.81,0.83,0.34,1.59456055164256
2024-01-18-11:00:50,0.54,0.28,0.1,0.14,0.06,0.72,0.52,0.44,0.2,0.52,0.5,1.54478046240708
2024-01-18-11:00:52,0.25,0.16,0.69,0.45,0.07,0.49,0.22,0.22,0.25,0.48,0.59,1.05171545780537
2024-01-18-11:00:53,0.32,0.75,0.64,0.92,0.99,0.86,0.64,0.47,0.22,0.7,0.75,1.51523764443315
2024-01-18-11:00:54,0.27,0.04,0.41,0.42,0.79,0.73,0.22,0.44,0.87,0.35,0.68,-0.19757933349574
2024-01-18-11:00:55,0.33,0.35,0.17,0.64,0.39,0.99,0.85,0.6,0.48,0.4,0.9,0.741438372682726
2024-01-18-11:00:56,0.98,0.24,0.53,0.15,0.51,0.08,0.49,0.96,0.96,0.74,0.04,-1.29608287422314
2024-01-18-11:00:57,0.81,0.88,0.95,0.84,0.76,0.9,0.69,0.23,0.77,0.74,0.01,1.48597355639849
2024-01-18-11:00:58,0.94,0.26,0.24,0.55,0.28,0.64,0.16,0.66,0.46,0.98,0.6,0.371344685892174
2024-01-18-11:01:00,0.26,0.54,0.09,0.48,0.04,0.86,0.16,0.67,0.18,0.69,0.84,1.23546087927821
2024-01-18-11:01:01,0.89,0.99,0.4,0.7,0.75,0.55,0.55,0.73,0.21,0.32,0.63,1.49795245532667
2024-01-18-11:01:02,0.95,0.79,0.23,0.67,0.59,0.67,0.5,0.27,0.91,0.15,0.67,-0.567363408983268
2024-01-18-11:01:03,0.44,0.66,0.61,0.37,0.1,0.95,0.57,0.4,0.9,0.08,0.89,-0.0325444417279177
2024-01-18-11:01:04,0.64,0.15,0.03,0.65,0.65,0.55,0.64,0.71,0.63,0.42,0.48,1.63098203259416
2024-01-18-11:01:05,0.64,0.2,0.85,0.27,0.84,0.19,0.42,0.02,0.51,0.13,0.1,1.58637309816459
2024-01-18-11:01:06,0.14,0.89,0.02,0.9,0.43,0.68,0.58,0.15,0.1,0.01,0.43,1.59797715819981
2024-01-18-11:01:07,0.77,0.56,0.36,1,0.85,0.23,0.72,0.24,0.58,0.91,0.77,2.2719207289931
2024-01-18-11:01:08,0.13,0.68,0.05,0.56,0.54,0.08,0.21,0.12,0.7,0.05,0.94,0.176945636689271
2024-01-18-11:01:09,0.62,0.06,0.78,0.46,0.27,0.21,0.99,0.39,0.13,0.19,0.15,2.31894838047703
2024-01-18-11:01:10,0.31,0.36,0.25,0.47,0.81,0.15,0.58,0.36,0.11,0.08,0.12,1.36316261438508
2024-01-18-11:01:12,0.36,0.57,0.98,0.13,0.96,0.72,0.54,0.7,0.71,0.13,0.12,-0.0339686814421083
2024-01-18-11:01:13,0.21,0.67,0.42,0.42,0.81,0.28,0.4,0.59,0.5,0.45,0.03,0.467539714867741
2024-01-18-11:01:14,0.1,0.4,0.76,0.42,0.36,0.16,0.23,0.95,0.38,0.99,0.44,0.669768996353938
2024-01-18-11:01:15,0.81,0.3,0.01,0.03,0.14,0.27,0.16,0.26,0.73,0.1,0.02,0.920179369971359
2024-01-18-11:01:16,0.12,0.67,0.59,0.71,0.3,0.02,0.18,0.14,0.82,0.66,0.83,0.0814506254542872
2024-01-18-11:01:18,0.73,0.62,0.39,0.96,0.11,0.62,0.64,0.26,0.69,0.37,0.19,2.10991725022181
2024-01-18-11:01:19,0.23,0.19,0.28,0.99,0.29,0.52,0.66,0.11,0.72,0.82,0.85,0.465626996722852
2024-01-18-11:01:20,0.39,0.4,0.03,0.97,0.3,0.65,0.06,0.59,0.24,0.46,0,1.81307962873026
2024-01-18-11:01:21,0.6,0.86,0.86,0.14,0.82,0.31,0.85,0.03,0.94,0.54,0.33,0.372360308476947
2024-01-18-11:01:22,0.92,0.1,0.23,0.79,0.65,0.73,0.71,0.14,0.07,0.96,0.74,1.44529928973966
2024-01-18-11:01:24,0.96,0.5,0.5,0.71,0.49,0.07,0.74,0.6,0.79,0.85,0.31,-0.415794000853952
2024-01-18-11:01:26,0.06,0.63,0.77,0.81,0.86,0.39,0.12,0.91,0.72,0.17,0.34,0.367936114115575
2024-01-18-11:01:27,0.38,0.76,0.2,0.58,0.42,0.45,0.94,0.52,0.41,0.28,0.03,0.908818795192738
2024-01-18-11:01:28,0.63,0,0.77,0.59,0.44,0.96,0.28,0.2,0.25,0.97,0.42,2.35320909612384
2024-01-18-11:01:29,0.86,0.94,0.65,0.88,0.02,0.66,0.56,0.49,0.47,0.01,0.35,1.53725075805378
2024-01-18-11:01:30,0.14,0.94,0.06,0.65,0.17,0.17,0.39,0.44,0.94,0.1,0.75,-0.247470667838258
2024-01-18-11:01:31,0.81,0.74,0.53,0.83,0.51,0.54,0.65,0.68,1,0.72,0.16,1.02909129691345
2024-01-18-11:01:32,0.48,0,0.81,0.63,0.17,0.69,0.22,0.46,0.29,0.92,0.01,1.59804967327349
2024-01-18-11:01:33,0.18,0.91,0.03,0.19,0.95,0.55,0.26,0.65,0.34,0.11,0.26,0.577230387643623
2024-01-18-11:01:34,0.21,0.16,0.17,0.99,0.93,0.98,0.34,0.77,0.21,0.4,0.03,1.5631176108203
2024-01-18-11:01:35,0.41,0.43,0.16,0.47,0.51,0.07,0.02,0.11,0.96,0.21,0.42,-0.0709783648280561
2024-01-18-11:01:36,0.73,0.55,0.12,0.42,0.57,0.79,0.4,0.1,0.36,0.95,0.97,2.36745544033325
2024-01-18-11:01:37,0.36,0.54,0.01,0.78,0.08,0,0.34,0.31,0.11,0.17,0.89,1.76019222075389
2024-01-18-11:01:38,0.77,0.39,0.09,0.12,0.78,0.11,0.7,0.03,0.74,0.6,0.69,1.26291557444269
2024-01-18-11:01:40,0.65,0.18,0.65,0.71,0.5,0.5,0.94,0.77,0.56,0.05,0.61,1.81347165485247
2024-01-18-11:01:41,0.07,0.56,0.86,0.05,0.86,0.97,0.93,0.17,0.47,0.02,0.01,0.127500902606528
2024-01-18-11:01:42,0.8,0.87,0.18,0.86,0.32,0.24,0.04,0.14,0.01,0.64,0.33,3.28058839280402
2024-01-18-11:01:43,0.47,0.56,0.85,0.18,0.32,0.09,0.5,0.51,0.91,0.18,0.31,-0.111736182802744
2024-01-18-11:01:44,0.67,0.34,0.33,0.02,0.52,0.53,0.49,0.02,0.61,0,0.99,1.32483218192319
2024-01-18-11:01:45,0.4,0.08,0.7,0.43,0.29,0.93,0.76,0.06,0.97,0.45,0.07,-0.253828133133473
2024-01-18-11:01:46,0.35,0.22,0.38,0.28,0.86,0.49,0.5,0.36,0.6,0.91,0.99,0.300740186336935
2024-01-18-11:01:47,0.28,0.15,0.74,0.99,0.35,0.58,0.38,0.24,0.13,0.92,0.83,1.77664272260448
2024-01-18-11:01:48,0.14,0.84,0.65,0.72,0.38,0.38,0.45,0.51,0.12,0.07,0.21,1.4369253691156
2024-01-18-11:01:49,0.72,0.6,0.75,0.58,0.97,0.68,0.74,0.45,0.57,0.83,0.54,2.01676884691781
2024-01-18-11:01:50,0.44,0.86,0.67,0.93,0.66,0.83,0.27,0.15,0.8,0.82,0.24,0.719010606114179
2024-01-18-11:01:51,0.55,0.69,0.08,0.77,0.09,0.22,0.76,0.72,0.23,0.92,0.51,2.02368192288953
2024-01-18-11:01:53,0.34,0.65,0.71,0.09,0.57,0.83,0.44,0.86,0.26,0.2,0.55,0.79820899352757
2024-01-18-11:01:54,0.47,0.65,0.4,0.32,0.21,0.49,0.99,0.82,0.39,0.04,0.13,0.998037010415763
2024-01-18-11:01:55,0.33,0.46,0.17,0.46,0.91,0.94,0.45,0.19,0.08,0.38,0.37,1.46533586540118
2024-01-18-11:01:56,0.91,0.99,0.83,0.51,0.54,0.37,0.55,0.56,0.44,0.19,0.19,0.621744674199972
2024-01-18-11:01:57,0.36,0.41,0.7,0.86,0.65,0.53,0.19,0.64,0.43,0.52,0.59,1.22658513920556
2024-01-18-11:01:58,0.32,0.37,0.81,0.99,0.37,0.81,0.63,0.64,0.91,0.26,0.82,0.18981473035076
2024-01-18-11:01:59,0.04,0.1,0.26,0.23,0.47,0.03,0.11,0.96,0.46,0.77,0.14,0.321382994396483
2024-01-18-11:02:00,0.21,0.95,0.92,0.25,0.2,0.55,0.37,0.88,0.63,0.64,0.15,0.0618726549711204
2024-01-18-11:02:01,0.03,0.53,0.31,0.79,0.93,0.71,0.19,0.99,0.43,0.07,0.26,0.913192933813246
2024-01-18-11:02:02,0.07,0.85,0.28,0.99,0.51,0.4,0.05,0.65,0.38,0.57,0.08,1.24511542279974
2024-01-18-11:02:03,0.03,0.97,0.62,0.55,0.6,0.98,0.88,0.25,0.03,0.62,0.47,1.36530272873503
2024-01-18-11:02:04,0.28,0.87,0.76,0.68,0.8,0.23,0.78,0.95,0.73,0.46,0.02,0.219371378402224
2024-01-18-11:02:05,0.06,0.71,0.25,0.5,0.83,0.85,0.68,0.6,0.06,0.08,0.64,1.30433847591059
2024-01-18-11:02:06,0.12,0.24,0.49,0.89,0.56,0.41,0.16,0.81,1,0.29,0.99,-0.10110474132477
2024-01-18-11:02:07,0.86,0.71,0.9,0.36,0.42,0.44,0.5,0.33,0.45,0.98,0.04,1.14701013573465
2024-01-18-11:02:08,0.14,0.58,0.19,0.39,0.34,0.94,0.78,0.6,0.06,0.6,0.98,1.23615285763616
2024-01-18-11:02:09,0.13,0.26,0.84,0.79,0.71,0.59,0.46,0.25,0.78,0.32,0.54,0.169961983510367
2024-01-18-11:02:10,0.5,0.67,0.67,0.05,0.83,0.7,0.89,0.21,0.37,0.84,0.17,0.957348597157344
2024-01-18-11:02:11,0.23,0.06,0.7,0.39,0.8,0.63,0.6,0.95,0.69,0.8,0.91,0.0566223245804917
2024-01-18-11:02:12,0.78,0.82,0.36,0.45,0.66,0.31,0.52,0.14,0.32,0.61,0.88,2.33819014775232
2024-01-18-11:02:13,0.45,0.16,0.88,0.86,0.81,0.8,0.45,0.64,0.15,0.89,0.9,1.93852872373699
2024-01-18-11:02:14,0.98,0.37,0.36,0.17,0.67,0.51,0.62,0.87,0.6,0.03,0.36,-0.568191090619309
2024-01-18-11:02:16,0.09,0.27,0.07,0.73,0.4,0.45,0.63,0.06,0.07,0.08,0.5,1.49335837249267
2024-01-18-11:02:17,0.75,0.61,0.9,0.18,0.4,0.18,0.69,0.88,0.22,0.83,0.57,2.40826621458474
2024-01-18-11:02:18,0.09,0.36,0.67,0.14,0.69,0.71,0.51,0.17,0.78,0.13,0.59,-0.404118649941366
2024-01-18-11:02:19,0.08,0.27,0.79,0.12,0.78,0.1,0.17,0.14,0.58,0.71,0.67,-0.0155527647687742
2024-01-18-11:02:21,0.08,0.69,0.61,0.06,0.32,0.35,0.07,0.62,0.68,0.2,0.55,-0.269598106426193
2024-01-18-11:02:23,0.43,0.74,0.85,0.25,0.39,0.52,0.46,0.68,0.94,0.21,0.1,-0.231112815834907
2024-01-18-11:02:24,0.47,0.36,0.01,0.07,0.63,0.39,0.04,0.74,0.88,0.14,0.61,-0.136251331285983
2024-01-18-11:02:26,0.87,0.08,0.45,0.4,0.67,0.32,0.85,0.2,0.31,0.24,0.34,1.28580277350052
2024-01-18-11:02:29,0.43,0.32,0.55,0.28,0.17,1,0.19,0.93,0.78,0.09,0.81,0.134329319234207
2024-01-18-11:02:31,0.48,0.62,0.71,0.89,0.95,0.95,0.17,0.3,0.79,0.55,0.89,0.854526199733466
2024-01-18-11:02:33,0.28,0.57,0.32,0.31,0.38,0.64,0.96,0.42,0.43,0.5,0.8,0.52518826034335
2024-01-18-11:02:35,1,0.29,0.96,0.8,0.09,0.2,0.5,0.63,0.53,0.73,0.27,0.0353371414369522
2024-01-18-11:02:36,0.12,0.15,0.5,0.48,0.28,0.01,0.1,0.92,0.18,0.64,0.32,1.1560106355882
2024-01-18-11:02:38,0.23,0.93,0.16,0.73,0.3,0.41,0.83,0.17,0.97,0.84,0.75,-0.278930763355542
2024-01-18-11:02:39,0.2,0.19,0.66,0.3,0.62,0.44,0.1,0.4,0.76,0.14,0.18,-0.140373491569789
2024-01-18-11:02:41,0.77,0.25,0.8,0.14,0.97,0.74,0.23,0.96,0.19,0.98,0,2.39716199237982
2024-01-18-11:02:43,0.61,0.69,0.94,0.36,0.67,0.9,0.79,0.24,0.23,0.82,0.64,2.01651056917354
2024-01-18-11:02:44,0.01,0.9,0.52,0.43,0.62,0.18,0.23,0.22,0.83,0.17,0.83,-0.239600476617281
2024-01-18-11:02:46,0.93,0.69,0.48,0.72,0.4,0.36,0.87,0.75,0.6,0.68,0.5,0.190050367379957
2024-01-18-11:02:48,0.61,0.22,0.1,0.68,0.88,0.7,0.3,0.52,0.18,0.39,0.97,2.46030980923014
2024-01-18-11:02:49,0.3,0.47,0.57,0.74,0.96,0.17,0.99,0.62,0.6,0.3,0.61,0.505915666109687
2024-01-18-11:02:50,0.37,0.78,0.04,0.07,0.01,0.31,0.21,0.36,0.45,0.49,0.3,0.458597288260398
2024-01-18-11:02:52,0.12,0.44,0.09,0.98,0.16,0.31,0.98,0.38,0.88,0.73,0.23,-0.0198922176058969
2024-01-18-11:02:53,0.87,0.56,0.77,0.53,0.21,0.73,0.34,0.9,0.46,0.42,0.23,1.16495489230211
2024-01-18-11:02:54,0.2,0.04,0.71,0.6,0.58,0.78,0.53,0.6,0.66,0.69,0.56,0.274562679347684
2024-01-18-11:02:56,0.3,0.62,0.98,0.18,0.43,0.63,0.94,0.28,0.11,0.23,0.78,1.09270111306846
2024-01-18-11:02:58,0.11,0.29,0.61,0.07,0.74,0.88,0.75,0.45,0.99,0.43,0.41,-0.883221475524634
2024-01-18-11:03:00,0.81,0.47,0.87,0.7,0.11,0.43,0.05,0.84,0.62,0.12,0.62,1.81200678559694
2024-01-18-11:03:02,0.69,0.03,0.83,0.11,0.72,0.65,0.5,0.92,0.96,0.23,0.6,0.789611686508945
2024-01-18-11:03:03,0.82,0.25,0.31,0.94,0.28,0.76,0.7,0.72,0.9,0.99,0.09,1.19694289101444
2024-01-18-11:03:05,0.73,0.14,0.38,0.63,0.72,0.23,0.27,0.32,0,0.68,0.53,3.29362685512724
2024-01-18-11:03:07,0.73,0.59,0.62,0.19,0.27,0.84,0.58,0.74,0.71,0.5,0.4,1.44497074940997
2024-01-18-11:03:09,0.64,0.8,0.89,0.66,0.64,0.02,0.32,0.95,0.61,0.38,0.77,1.74367955736093
2024-01-18-11:03:11,0.36,0.86,0.32,0.4,0.4,0.38,0.02,0.35,0.85,0.68,0.59,-0.0293337314679415
2024-01-18-11:03:13,0.98,0.83,0.79,0.84,0.77,0.24,0.48,0.42,0.64,0.58,0.31,-0.0632982469068047
2024-01-18-11:03:15,0.05,0.19,0.74,0.8,0.44,0.88,0.63,0.11,0.68,0.74,0.7,0.313858339727606
2024-01-18-11:03:17,0.79,0.65,0.65,0.53,0.79,0.61,0.22,0.43,0.53,0.39,0.87,1.96529943284304
2024-01-18-11:03:19,0.73,0.37,0.52,0.4,0.38,0.43,0.58,0.01,0.42,0.22,0.83,2.20660388210438
2024-01-18-11:03:20,0.97,0.31,0.19,0.84,0.87,0.39,0.22,0.24,0.15,0.74,0.49,1.03621650793534
2024-01-18-11:03:21,0.66,0.95,0.88,0.47,0.82,0.79,0.78,0.55,0.64,0.05,0.18,1.55377770173193
2024-01-18-11:03:22,0.89,0.84,0.25,0.87,0.28,0.54,0.64,0.35,0.59,0.48,0.42,0.859511205872747
2024-01-18-11:03:24,0.64,0.94,0.96,0.53,0.29,0.77,0.76,0.26,0.57,0.7,0.61,1.6358529274812
2024-01-18-11:03:25,0.57,0.5,0.71,0.86,0.74,0.72,0.98,0.66,0.8,0.9,0.74,0.990858156556051
2024-01-18-11:03:26,0.47,0.74,0.6,0.46,0.24,0.38,0,0.15,0.29,0.51,0.28,1.43586591114609
2024-01-18-11:03:27,0.59,0.3,0.29,0.52,0.53,0.26,0.46,0.57,0.21,0.2,0.26,2.11523676121478
2024-01-18-11:03:28,0.61,0.11,0.5,0.94,0.14,0.17,0.95,1,0.01,0.89,0.36,2.85213200579084
2024-01-18-11:03:29,0.09,0.34,0.71,0.22,0.47,0.01,0.1,0.63,0,0.99,0.89,1.25116002617987
2024-01-18-11:03:30,0.08,0.35,0.67,0.17,0.45,0.29,0.82,0.75,0.27,0.58,0.65,0.620909954148464
2024-01-18-11:03:31,0.75,0.04,0.81,0.42,0.65,0.29,0.11,0.5,0.82,0.17,0.6,1.47498532947837
2024-01-18-11:03:32,0.11,0.67,0.67,0.36,0.85,0.83,0.99,0.35,0.01,0.93,0.23,1.27366347315566
2024-01-18-11:03:34,0.28,0.74,0.14,0.11,0.77,0.09,0.5,0.76,0.6,0.31,0.59,0.0529451546189552
2024-01-18-11:03:35,0.08,0.36,0.31,0.74,0.31,0.21,0.58,0.03,0.12,0.9,0.98,1.40420160576431
2024-01-18-11:03:37,0.69,0.4,0.11,0.85,0.07,0.94,0.82,0.34,0.67,0.77,0.78,1.91694935969611
2024-01-18-11:03:39,0.82,0.4,0.48,0.91,0.9,0.38,0.89,0.12,0.79,0.48,0.77,1.34684661243055
2024-01-18-11:03:41,0.19,0.2,0.28,0.23,0.47,0.06,0.35,0.72,0.32,0.28,0.86,0.647851658903417
2024-01-18-11:03:42,0.58,0.29,0.78,0.18,0.78,0.72,0.57,0.04,0.4,0.96,0.72,1.383243347125
2024-01-18-11:03:43,0.98,0.93,0.97,0.31,0.25,0.99,0.97,0.05,0.34,0.96,0.09,0.0380684338009573
2024-01-18-11:03:45,0.55,0.46,0.67,0.37,0.45,0.41,0.48,0.11,0.59,0.78,0.96,1.01749070293846
2024-01-18-11:03:46,0.49,0.93,0.12,0.43,0.65,0.56,0.23,0.7,0.56,0.43,0.03,0.903982301350901
2024-01-18-11:03:48,0.14,0.41,0.13,0.77,0.91,0.85,0.65,0.33,0.33,0.44,0.87,1.01596268715109
2024-01-18-11:03:50,0.53,0.09,0.12,0.69,0.04,0.55,0.09,0.52,0.08,0.15,0.45,2.30344586767853
2024-01-18-11:03:51,0.39,0.68,0.82,0.12,0.29,0.13,0.91,0.72,0.25,0.67,0.89,0.922935094929354
2024-01-18-11:03:52,0.3,0.39,0.24,0.24,0.25,0.3,0.66,0.62,0.93,0.81,0.14,-0.483620929136467
2024-01-18-11:03:55,0.71,0,0.35,0.17,0.4,0.8,0.79,0.33,0.94,0.77,0.3,0.932534377115901
2024-01-18-11:03:57,0.3,0.78,0.8,0.32,0.95,0.12,0.7,0.45,0.74,0.83,0.16,-0.040557078950001
2024-01-18-11:03:59,0.03,0.4,0.74,0.12,0.87,0.2,0.9,0.77,0.28,0.94,0.91,0.544166324217368
2024-01-18-11:04:00,0.94,0.62,0.72,0.33,0.09,0.52,0.33,0.82,0.3,0.63,0.94,0.465570800106541
2024-01-18-11:04:02,0.6,0.41,0.55,0.31,0.8,0.29,0.96,0.96,0.09,0.54,0.46,2.18162659074847
2024-01-18-11:04:04,0.72,0.79,0.68,0.21,0.6,0.79,0.42,0.32,0.23,0.85,0.63,2.42588499541435
2024-01-18-11:04:05,0.1,0.67,0.65,0.49,0.03,0.73,0.68,0.7,0.04,0.59,0.13,1.35379576765905
2024-01-18-11:04:07,0.22,0.1,0.76,0.93,0.1,0.23,0.91,0.65,0.88,0.04,0.25,0.02025319886904
2024-01-18-11:04:08,0.61,0.42,0.32,0.37,0.01,0.03,0.87,0.61,0.39,0.4,0.77,1.69320482494086
2024-01-18-11:04:09,0.33,0.81,0.13,0.36,0.76,0.2,0.9,0.55,0.73,0.81,0.15,0.0294692352811372
2024-01-18-11:04:11,0.39,0.15,0.74,0.8,0.63,0.78,0.97,0.28,0.81,0.64,0.65,0.284812945844124
2024-01-18-11:04:12,0.33,0.01,0.93,0.47,0.56,0.64,0.17,0.39,0.76,0.6,0.81,0.152723844557305
2024-01-18-11:04:13,0.4,0.73,0.72,0.3,0.14,0.58,0.39,0.67,0.55,0.95,0.43,0.528004812162186
2024-01-18-11:04:16,0.72,0.83,0.55,0.34,0.14,0.53,0.35,0.94,0.08,0.86,0.67,2.84873656872235
2024-01-18-11:04:17,0.11,0.46,0.82,0.92,0.3,0.71,0.81,0.23,0.85,0.33,0.7,0.0394459636053842
2024-01-18-11:04:18,0.92,0.21,0.78,0.68,0.66,0.52,0.01,0.92,0.79,0.6,0.13,0.0630698599006657
2024-01-18-11:04:20,0.35,0.39,0.94,0.92,0.33,0.28,0.38,0.97,0.73,0.23,0.73,0.610219458474197
2024-01-18-11:04:21,0.66,0.92,0.4,0.85,0.12,0.84,0.39,0.02,0.05,0.82,0.76,3.12662090093128
2024-01-18-11:04:22,0.33,0.98,0.08,0.87,0.21,0.52,0.05,0.92,0.47,0.23,0.25,1.14358020553214
2024-01-18-11:04:23,0.95,0.81,0.97,0.08,0.14,0.76,0.21,0.05,0.67,0.99,0.1,-0.584564641812539
2024-01-18-11:04:25,0.5,0.75,0.55,0.2,0.94,0.06,0.17,0.81,0.64,0.19,0.61,0.572817364116613
2024-01-18-11:04:26,0.82,0.11,0.51,0.26,0.29,0.86,0.74,0.36,0.96,0.6,0.09,0.531202536450622
2024-01-18-11:04:27,0.29,0.62,0.54,0.44,0.51,0.19,0.96,0.26,0.62,0.98,0.04,0.248338626901847
2024-01-18-11:04:28,0.79,0.25,0.63,0.42,0.69,0.71,0.56,0.7,0.06,0.97,0.27,2.7579053367562
2024-01-18-11:04:30,0.21,0.13,0.28,0.97,0.96,0.22,0.89,0.47,0.73,0.05,0.13,0.349008337076226
2024-01-18-11:04:31,0.07,0.89,0.46,0.96,0.09,0.78,0.24,0.47,0.13,0.37,0.7,1.66296007796289
2024-01-18-11:04:32,0.62,0.08,0.88,0.29,0.01,0.85,0.68,0.88,0.65,0.98,0.49,1.18495731747521
2024-01-18-11:04:34,0.34,0.03,0.03,0.85,0.47,0.91,0.73,0.68,0.13,0.05,0.91,1.64887674714342
2024-01-18-11:04:35,0.29,0.25,0.54,0.65,0.42,0.59,0.8,0.24,0.62,0.02,0.57,0.427437424252774
2024-01-18-11:04:37,0.17,0.83,0.05,0.08,0.18,0.49,0.46,0.17,0.13,0.06,0.15,0.881258497591597
2024-01-18-11:04:38,0.83,0.07,0.73,0.03,0.89,0.35,0.85,0.91,0.3,0.28,0.98,1.56256900563639
2024-01-18-11:04:40,0.3,0.66,0.53,0.54,0.95,0.96,0.91,0.04,0.08,0.09,0.18,1.41712746357457
2024-01-18-11:04:41,0.35,0.09,0.06,0.17,0.44,0.01,0.63,0.96,0.85,0.21,0,-0.303326709938934
2024-01-18-11:04:42,0.12,0.97,0.67,0.19,0.68,0.07,0.55,0.66,0.6,0.55,0.8,0.00447947972862108
2024-01-18-11:04:43,0.52,0.69,0.89,0.78,0.98,0.25,0.31,0.68,0.03,0.51,0.21,2.39204364417128
2024-01-18-11:04:46,0.41,0.19,0.31,0.07,0.67,0.49,0.73,0.45,0.37,0.21,0.39,0.696345564147535
2024-01-18-11:04:47,0.78,0.13,0.21,0.77,0.94,0.8,0.58,0.71,0.06,0.95,0.88,3.11698449808228
2024-01-18-11:04:48,0.4,0.49,0.85,0.09,0.49,0.97,0.17,0.61,0.6,0.4,0.54,0.242588809561589
2024-01-18-11:04:49,0.83,0.86,0.96,1,0.39,0.69,0.73,0.14,0.89,0.84,0.52,1.13917353743879
2024-01-18-11:04:51,0.11,0.71,0.65,0.25,0.65,0.37,0.72,0.37,0.06,0.5,0.41,1.12251181677682
2024-01-18-11:04:53,0.94,0.93,0.56,0.5,0.06,0.59,0.52,0.53,0.98,0.63,0.45,-0.765140599143704
2024-01-18-11:04:54,0.24,0.68,0.28,0.26,0.6,0.77,0.39,0.42,0.41,0.97,0.45,0.529799918880334
